Category,Topic,Description,URL
Location,Personalization,"AccuWeather tracks weather and delivers up-to-date commercial forecasting services across the globe. What’s more, AccuWeather software provides up-to-date weather conditions. AccuWeather and Braze enable you to use dynamic weather content to create relevant messaging experiences across channels.",https://developer.accuweather.com/
Deep linking & Attribution,,Adjust is a mobile attribution and analytics company that combines attribution for advertising sources with advanced analytics for a comprehensive picture of business intelligence. Adjust allows you to import paid install attribution data to segment more intelligently within your lifecycle campaigns.,https://www.adjust.com/
Deep linking & Attribution,,"AB180 primarily services its proprietary solution, Airbridge, to over 150 advertisers in Korea and wider Asia Pacific regions. Airbridge is a people-based attribution analytics solution which helps advertisers measure advertising campaign performances across multiple publishers. AB180 has proven to be a successful reselling partner of Braze for the past five years in Korea. By enhancing the established relationship through Alloys Partner, Braze and Airbridge can not only better serve clients who are users of both solutions but also generate greater leads in the local and overseas markets.",https://www.airbridge.io/
Data Warehouses,,"Amazon s3 is a scalable storage system offered by Amazon Web Services. s3 is purpose-built to store any amount of data, anywhere. Through our Currents integration with s3, you can send Braze data to your s3 instance, enabling you to store it there until you want to connect it to other platforms, tools, and locations.",https://aws.amazon.com/s3/
Customer Data Platforms (CDPs),,"Amperity has revolutionized the way brands identify, understand, and connect with their customers by leveraging AI to deliver a comprehensive and actionable Customer 360. This unified view improves marketing performance, fuels accurate customer insights, and enables world-class customer experiences. Braze users can design campaigns based on an accurate and comprehensive 360° view of their customers, including predicted attributes, created in Amperity. ",https://amperity.com
Analytics & Business Intelligence,,Amplitude enables you to drive growth through robust product and behavioral analytics. Gain a thorough understanding of exactly what behaviors and traits are common among user segments to inform powerful targeting. Enable deeper behavioral and product analysis with Braze and Amplitude. Gauge the efficacy of segmentation and experimentation on the customer experience through Amplitude and make real-time adjustments in Braze. Export behavioral cohorts directly from Amplitude to Braze or utilize Currents to export data from Braze to Amplitude.,https://amplitude.com/
Deep linking & Attribution,,"AppsFlyer is a mobile marketing analytics and attribution platform that helps you analyze and optimize your apps through marketing analytics, mobile attribution, and deep linking. Build more holistic marketing campaigns by leveraging mobile install attribution data from AppsFlyer. With AppsFlyer and Braze, you can pass install attribution data to Braze to better understand how to optimize your campaigns.",https://www.appsflyer.com/
Crash Reporting,,"Apteligent empowers you to resolve app issues to improve the user experience. Gain a clear picture of app performance, user behavior, and business insights. Braze and Apteligent enable you to segment, understand, and engage with users who have experienced app failures.",https://www.vmware.com/products/workspace-one/intelligence-consumer-apps.html
Dynamic Content,Personalization,"Amazon Personalize allows developers with no prior machine learning experience to easily build sophisticated personalization capabilities into their applications. With Personalize, you provide an activity stream from your application, as well as an inventory of the items you want to recommend, and Personalize will process the data to train a personalization model that is customized for your data. Together, AWS Personalize and Braze enable brands to seamlessly incorporate real-time personalization into their marketing campaigns.By leveraging the Braze Connected Content feature, brands can pull personalized product and content recommendations from AWS Personalize directly into their Braze cross-channel campaigns or customer journey workflows.",https://aws.amazon.com/personalize/
Customer Data Platforms (CDPs),,"BlueConic's customer data platform liberates your first-party data so you can orchestrate individualized experiences in every stage of the customer lifecycle. Braze is all about relevant and personalized customer experiences. With BlueConic's native connection, you can fuel these experiences with a single view of the customer no matter where their data lives. This ensures the right message, at the right time, for the right customer on any channel. All real time and always consented, with powerful insights and machine learning so you can optimize every action.
",https://www.blueconic.com/
Location,,"Bluedot is a location technology platform that powers convenient, high-impact experiences. Using their proprietary technology, brands can make their apps more valuable to end-customers in real-time experiences via drive-thrus, mobile order pick-ups, smarter messaging, gamification, and more. With Bluedot, Braze customers benefit from accurate, real-time location data to power meaningful push notifications and in-app messaging.",https://bluedot.io/
Deep linking & Attribution,,"Branch, a mobile linking platform, helps you acquire, engage, and measure across all devices, channels, and platforms by providing a holistic view of all user touchpoints. Branch and Braze help you understand exactly when and where users were acquired as well as how to personalize their journeys through robust attribution and deep linking.",https://branch.io/
Workflow Automation & ETLs,,"Census is an integration platform that allows you to bring the customer data that is locked in your other tools or databases into Braze. With Census, you can bring that information to your fingertips without relying on engineering help. No Engineering Favors Required: No more relying on engineers to generate data that you have to manually import and merge into Braze. By automating the entire data pipeline, Census puts the right data directly in your hands in Braze.Automate Your Data Processes: Map fields and write queries to transform and unify your data, so it's ready to be used in Braze.Work With Your Existing Warehouse: No need to migrate your data into Census and keep yet another system in sync. Census works on top of your existing warehouse, so you have all of your data in one place.",https://www.getcensus.com/
Dynamic Content,,"Certona's platform drives personalization across the customer lifecycle. From highly individualized email campaigns to machine-learning-powered product recommendations, Certona ensures that you’re harnessing the power of personalization. Certona is a Connected Content partner that enables customers to deeply understand their users. Leverage Braze to easily insert content recommendations across multi-channel campaigns.",https://kibocommerce.com/personalization-software/?utm_campaign=certona_redirect
,,"Clarisights empowers performance marketing teams to make better decisions by bringing transparency to data. We're much more than just another reporting platform that saves tons of hours spent on manual reporting. Clarisights fundamentally changes the reporting workflow in an organization by making data accessible to everyone. It automatically integrates, processes and visualizations all marketing data (costs, budgets, acquisitions) from all analytical and attribution sources. Clarisights integrates with Braze as well as the attribution sources and maps the attribution data back to the campaigns. Further, with built-in data transformation capabilities and visualizations, the marketing team can analyze the data to better optimize their campaigns.",http://claisights.com
Localization,Acquisition,"Crowdin provides a technology that streamlines localization management for individuals, teams, and businesses. With Crowdin, you can set up a continuous and automated localization process. Automate things from sending content to translators to receiving translations right where you need them. Braze and Crowdin work together to localize and translate email templates + content blocks to run multilingual campaigns faster without content copy-pasting.",https://crowdin.com/
